Year,Travel status,Jurisdiction,Count,Legend,Notes
2017,All,NJ,25,5 to 49,NA
2017,All,NY,38,5 to 49,NA
2017,All,OH,6,5 to 49,NA
2017,All,OR,7,5 to 49,NA
2017,All,PR,11,5 to 49,NA
2017,All,TX,43,5 to 49,NA
2017,All,UT,6,5 to 49,NA
2017,All,VA,11,5 to 49,NA
2017,All,WA,18,5 to 49,NA
2017,All,WI,18,5 to 49,NA
2017,All,CA,130,50 to 249,NA
2017,All,AS,508,250+,NA
2018,All,AK,3,1 to 4,NA
2018,All,AL,3,1 to 4,NA
2018,All,AR,2,1 to 4,NA
2018,All,DC,4,1 to 4,NA
2018,All,GU,3,1 to 4,NA
2018,All,IN,2,1 to 4,NA
2018,All,KS,3,1 to 4,NA
2018,All,KY,3,1 to 4,NA
2018,All,LA,2,1 to 4,NA
2018,All,MA,2,1 to 4,NA
2018,All,MD,4,1 to 4,NA
2018,All,ME,3,1 to 4,NA
2018,All,MO,1,1 to 4,NA
2018,All,MT,1,1 to 4,NA
2018,All,NE,2,1 to 4,NA
2018,All,NH,4,1 to 4,NA
2018,All,NM,1,1 to 4,NA
2018,All,NV,2,1 to 4,NA
2018,All,PR,4,1 to 4,NA
2018,All,RI,1,1 to 4,NA
2018,All,SC,3,1 to 4,NA
2018,All,SD,1,1 to 4,NA
2018,All,UT,4,1 to 4,NA
2018,All,VT,1,1 to 4,NA
2018,All,WV,1,1 to 4,NA
2018,All,AZ,10,5 to 49,NA
2018,All,CO,9,5 to 49,NA
2018,All,CT,6,5 to 49,NA
2018,All,GA,7,5 to 49,NA
2018,All,HI,12,5 to 49,NA
2018,All,IA,5,5 to 49,NA
2018,All,IL,13,5 to 49,NA
2018,All,MI,10,5 to 49,NA
2018,All,MN,13,5 to 49,NA
2018,All,NC,12,5 to 49,NA
2018,All,NJ,20,5 to 49,NA
2018,All,NY,30,5 to 49,NA
2018,All,OH,7,5 to 49,NA
2018,All,OR,10,5 to 49,NA
2018,All,PA,13,5 to 49,NA
2018,All,TN,9,5 to 49,NA
2018,All,TX,20,5 to 49,NA
2018,All,VA,8,5 to 49,NA
2018,All,WA,10,5 to 49,NA
2018,All,WI,8,5 to 49,NA
2018,All,AS,150,50 to 249,NA
2018,All,CA,107,50 to 249,NA
2018,All,FL,90,50 to 249,NA
2019,All,AK,2,1 to 4,NA
2019,All,AL,3,1 to 4,NA
2019,All,AR,3,1 to 4,NA
2019,All,DE,4,1 to 4,NA
2019,All,ID,2,1 to 4,NA
2019,All,KS,3,1 to 4,NA
2019,All,KY,3,1 to 4,NA
2019,All,ME,1,1 to 4,NA
2019,All,MP,2,1 to 4,NA
2019,All,NM,2,1 to 4,NA
2019,All,OK,1,1 to 4,NA
2019,All,SD,1,1 to 4,NA
2019,All,VI,3,1 to 4,NA
2019,All,VT,3,1 to 4,NA
2019,All,WV,4,1 to 4,NA
2019,All,WY,1,1 to 4,NA
2019,All,AZ,19,5 to 49,NA
2019,All,CO,34,5 to 49,NA
2019,All,CT,16,5 to 49,NA
2019,All,DC,6,5 to 49,NA
2019,All,GA,5,5 to 49,NA
2019,All,GU,22,5 to 49,NA
2019,All,HI,15,5 to 49,NA
2019,All,IA,9,5 to 49,NA
2019,All,IL,47,5 to 49,NA
2019,All,IN,14,5 to 49,NA
2019,All,LA,7,5 to 49,NA
2019,All,MA,38,5 to 49,NA
2019,All,MD,25,5 to 49,NA
2019,All,MI,20,5 to 49,NA
2019,All,MN,20,5 to 49,NA
2019,All,MO,7,5 to 49,NA
2019,All,MT,5,5 to 49,NA
2019,All,NC,27,5 to 49,NA
2019,All,NE,7,5 to 49,NA
2019,All,NV,7,5 to 49,NA
2019,All,OH,12,5 to 49,NA
2019,All,OR,13,5 to 49,NA
2019,All,PA,32,5 to 49,NA
2019,All,RI,8,5 to 49,NA
2019,All,SC,9,5 to 49,NA
2019,All,TN,9,5 to 49,NA
2019,All,UT,10,5 to 49,NA
2019,All,VA,22,5 to 49,NA
2019,All,WA,18,5 to 49,NA
2019,All,WI,17,5 to 49,NA
2019,All,NJ,73,50 to 249,NA
2019,All,NY,152,50 to 249,NA
2019,All,PR,91,50 to 249,NA
2019,All,TX,74,50 to 249,NA
2019,All,CA,262,250+,NA
2019,All,FL,403,250+,NA
2020,All,AR,1,1 to 4,NA
2020,All,AZ,4,1 to 4,NA
2020,All,CO,4,1 to 4,NA
2020,All,DC,2,1 to 4,NA
2020,All,DE,1,1 to 4,NA
2020,All,GU,2,1 to 4,NA
2020,All,IA,1,1 to 4,NA
2020,All,ID,1,1 to 4,NA
2020,All,IN,3,1 to 4,NA
2020,All,KS,2,1 to 4,NA
2020,All,KY,1,1 to 4,NA
2020,All,LA,3,1 to 4,NA
2020,All,MD,3,1 to 4,NA
2020,All,MI,2,1 to 4,NA
2020,All,MO,3,1 to 4,NA
2020,All,NE,3,1 to 4,NA
2020,All,NH,1,1 to 4,NA
2020,All,NJ,2,1 to 4,NA
2020,All,NM,1,1 to 4,NA
2020,All,NV,4,1 to 4,NA
2020,All,OH,2,1 to 4,NA
2020,All,OK,2,1 to 4,NA
2020,All,PA,4,1 to 4,NA
2020,All,RI,1,1 to 4,NA
2020,All,SC,2,1 to 4,NA
2020,All,SD,2,1 to 4,NA
2020,All,TN,1,1 to 4,NA
2020,All,UT,3,1 to 4,NA
2020,All,CT,7,5 to 49,NA
2020,All,HI,5,5 to 49,NA
2020,All,IL,18,5 to 49,NA
2020,All,MA,10,5 to 49,NA
2020,All,NC,6,5 to 49,NA
2020,All,NY,41,5 to 49,NA
2020,All,OR,8,5 to 49,NA
2020,All,VA,6,5 to 49,NA
2020,All,WA,8,5 to 49,NA
2020,All,WI,8,5 to 49,NA
2020,All,CA,86,50 to 249,NA
2020,All,FL,111,50 to 249,NA
2020,All,FM,50,50 to 249,NA
2020,All,PW,70,50 to 249,NA
2020,All,TX,62,50 to 249,NA
2020,All,PR,780,250+,NA
2021,All,AL,1,1 to 4,NA
2021,All,CO,3,1 to 4,NA
2021,All,DC,2,1 to 4,NA
2021,All,DE,1,1 to 4,NA
2021,All,GU,1,1 to 4,NA
2021,All,IA,2,1 to 4,NA
2021,All,IN,1,1 to 4,NA
2021,All,LA,2,1 to 4,NA
2021,All,MN,2,1 to 4,NA
2021,All,NC,2,1 to 4,NA
2021,All,NE,3,1 to 4,NA
2021,All,OH,3,1 to 4,NA
2021,All,OK,1,1 to 4,NA
2021,All,PW,2,1 to 4,NA
2021,All,RI,1,1 to 4,NA
2021,All,SC,1,1 to 4,NA
2021,All,TN,2,1 to 4,NA
2021,All,UT,2,1 to 4,NA
2021,All,VA,1,1 to 4,NA
2021,All,WA,2,1 to 4,NA
2021,All,WI,3,1 to 4,NA
2021,All,WY,1,1 to 4,NA
2021,All,AZ,8,5 to 49,NA
2021,All,CA,33,5 to 49,NA
2021,All,FL,32,5 to 49,NA
2021,All,IL,9,5 to 49,NA
2021,All,MA,8,5 to 49,NA
2021,All,MD,6,5 to 49,NA
2021,All,MI,5,5 to 49,NA
2021,All,NJ,12,5 to 49,NA
2021,All,NY,30,5 to 49,NA
2021,All,PA,5,5 to 49,NA
2021,All,TX,18,5 to 49,NA
2021,All,PR,609,250+,NA
2022,All,AK,1,1 to 4,NA
2022,All,AR,1,1 to 4,NA
