year,week,start.date,end.date,district,cases
2024,12,2024-03-16,2024-03-22,Puttalam,NA
2024,12,2024-03-16,2024-03-22,Anuradhapura,NA
2024,12,2024-03-16,2024-03-22,Polonnaruwa,NA
2024,12,2024-03-16,2024-03-22,Badulla,NA
2024,12,2024-03-16,2024-03-22,Monaragala,NA
2024,12,2024-03-16,2024-03-22,Ratnapura,NA
2024,12,2024-03-16,2024-03-22,Kegalle,NA
2024,13,2024-03-23,2024-03-29,Colombo,NA
2024,13,2024-03-23,2024-03-29,Gampaha,NA
2024,13,2024-03-23,2024-03-29,Kalutara,NA
2024,13,2024-03-23,2024-03-29,Kandy,NA
2024,13,2024-03-23,2024-03-29,Matale,NA
2024,13,2024-03-23,2024-03-29,NuwaraEliya,NA
2024,13,2024-03-23,2024-03-29,Galle,NA
2024,13,2024-03-23,2024-03-29,Hambantota,NA
2024,13,2024-03-23,2024-03-29,Matara,NA
2024,13,2024-03-23,2024-03-29,Jaffna,NA
2024,13,2024-03-23,2024-03-29,Kilinochchi,NA
2024,13,2024-03-23,2024-03-29,Mannar,NA
2024,13,2024-03-23,2024-03-29,Vavuniya,NA
2024,13,2024-03-23,2024-03-29,Mullaitivu,NA
2024,13,2024-03-23,2024-03-29,Batticaloa,NA
2024,13,2024-03-23,2024-03-29,Ampara,NA
2024,13,2024-03-23,2024-03-29,Trincomalee,NA
2024,13,2024-03-23,2024-03-29,Kurunegala,NA
2024,13,2024-03-23,2024-03-29,Puttalam,NA
2024,13,2024-03-23,2024-03-29,Anuradhapura,NA
2024,13,2024-03-23,2024-03-29,Polonnaruwa,NA
2024,13,2024-03-23,2024-03-29,Badulla,NA
2024,13,2024-03-23,2024-03-29,Monaragala,NA
2024,13,2024-03-23,2024-03-29,Ratnapura,NA
2024,13,2024-03-23,2024-03-29,Kegalle,NA
2024,14,2024-03-30,2024-04-05,Colombo,NA
2024,14,2024-03-30,2024-04-05,Gampaha,NA
2024,14,2024-03-30,2024-04-05,Kalutara,NA
2024,14,2024-03-30,2024-04-05,Kandy,NA
2024,14,2024-03-30,2024-04-05,Matale,NA
2024,14,2024-03-30,2024-04-05,NuwaraEliya,NA
2024,14,2024-03-30,2024-04-05,Galle,NA
2024,14,2024-03-30,2024-04-05,Hambantota,NA
2024,14,2024-03-30,2024-04-05,Matara,NA
2024,14,2024-03-30,2024-04-05,Jaffna,NA
2024,14,2024-03-30,2024-04-05,Kilinochchi,NA
2024,14,2024-03-30,2024-04-05,Mannar,NA
2024,14,2024-03-30,2024-04-05,Vavuniya,NA
2024,14,2024-03-30,2024-04-05,Mullaitivu,NA
2024,14,2024-03-30,2024-04-05,Batticaloa,NA
2024,14,2024-03-30,2024-04-05,Ampara,NA
2024,14,2024-03-30,2024-04-05,Trincomalee,NA
2024,14,2024-03-30,2024-04-05,Kurunegala,NA
2024,14,2024-03-30,2024-04-05,Puttalam,NA
2024,14,2024-03-30,2024-04-05,Anuradhapura,NA
2024,14,2024-03-30,2024-04-05,Polonnaruwa,NA
2024,14,2024-03-30,2024-04-05,Badulla,NA
2024,14,2024-03-30,2024-04-05,Monaragala,NA
2024,14,2024-03-30,2024-04-05,Ratnapura,NA
2024,14,2024-03-30,2024-04-05,Kegalle,NA
2024,15,2024-04-06,2024-04-12,Colombo,NA
2024,15,2024-04-06,2024-04-12,Gampaha,NA
2024,15,2024-04-06,2024-04-12,Kalutara,NA
2024,15,2024-04-06,2024-04-12,Kandy,NA
2024,15,2024-04-06,2024-04-12,Matale,NA
2024,15,2024-04-06,2024-04-12,NuwaraEliya,NA
2024,15,2024-04-06,2024-04-12,Galle,NA
2024,15,2024-04-06,2024-04-12,Hambantota,NA
